Gross weight of truck,Leg Distance,Load of leg (lbs),Leg Unloading Hrs
19640.39696,165.8714689,8756.321881,0.889161616
18734.40861,62.40798372,6428.948613,0.785727273
14394.37403,112.7368391,12305.46,1.046909091
14394.37403,163.9697238,7965.425421,0.854010101
13558.7039,22.65776142,6057.435,0.769212121
13558.7039,72.42227369,10577.55734,0.970111111
18885.06466,55.07110262,7501.268897,0.833383838
18885.06466,43.03665967,8307.507316,0.869222222
8769.179453,25.25595933,2088.643648,0.592828283
8769.179453,137.9424313,1774.654079,0.578868687
8769.179453,55.54399271,4905.881726,0.718030303
20397.11097,136.0984219,8121.73155,0.860959596
20397.11097,63.88532367,12275.37942,1.045565657
17528.65417,38.77475665,3541.394167,0.657393939
17528.65417,206.9877989,13987.26,1.121646465
10887.4766,14.46888024,4721.060286,0.709818182
10887.4766,42.07966505,475.9321429,0.521151515
10887.4766,29.55573399,5690.484167,0.752909091
9104.870218,12.72066881,2289.578556,0.601757576
9104.870218,32.5192112,977.6463962,0.543444444
9104.870218,56.5670073,5837.645267,0.759444444
7889.627423,89.64857785,1295.9588,0.55759596
7889.627423,80.94854944,4559.244423,0.702626263
7889.627423,79.33973011,2034.4242,0.590414141
5444.059542,140.1562568,386.0385333,0.517151515
5444.059542,38.70705098,2358.105118,0.60479798
5444.059542,53.16045656,2699.915891,0.619989899
9033.420867,28.86958503,5464.701321,0.742868687
9033.420867,104.3825395,798.056,0.535464646
9033.420867,30.77181711,2770.663545,0.623131313
8758.159286,9.511511132,1384.375711,0.561525253
8758.159286,6.684087738,3686.891787,0.663858586
7240.971333,160.8421858,3985.311333,0.677121212
7240.971333,269.1949388,3255.66,0.644686869
17864.07842,24.21362763,6435.45,0.786010101
17864.07842,29.61231434,5913.245652,0.762808081
17864.07842,64.08293084,5515.382767,0.745121212
15286.42544,23.34996739,6776.891515,0.801191919
15286.42544,43.3725467,2119.691368,0.59420202
3852.333781,24.94580385,1732.642413,0.577
5454.143854,20.592298,1182.62678,0.552555556
5454.143854,39.05721585,2432.018721,0.608080808
5454.143854,5.825218903,1839.498352,0.581747475
19898.9027,31.53575397,9949.45135,0.942191919
12798.20547,280.9105489,6294.495216,0.779747475
12798.20547,71.70821171,5184.182037,0.73040404
12798.20547,122.7903397,3106.610429,0.638070707
16999.26554,226.1750785,3397.099829,0.650979798
16999.26554,101.9343861,11815.0835,1.025111111
10458.32169,15.84104799,2905.806545,0.629141414
10458.32169,13.16107347,3291.959895,0.64630303
10458.32169,43.99266023,3914.970065,0.673989899
7829.94013,33.10307663,4260.55525,0.689353535
7829.94013,83.40713733,3914.970065,0.673989899
13225.56196,33.12923766,2995.756622,0.633141414
13225.56196,45.40766733,4954.501138,0.720191919
